Date,Open,High,Low,Close,Adj Close,Volume
2016-11-28,60.340000,61.020000,60.209999,60.610001,60.610001,20732600
2016-11-29,60.650002,61.410000,60.520000,61.090000,61.090000,22366700
2016-11-30,60.860001,61.180000,60.220001,60.259998,60.259998,34655400
2016-12-01,60.110001,60.150002,58.939999,59.200001,59.200001,34542100
2016-12-02,59.080002,59.470001,58.799999,59.250000,59.250000,25515700
2016-12-05,59.700001,60.590000,59.560001,60.220001,60.220001,23552700
2016-12-06,60.430000,60.459999,59.799999,59.950001,59.950001,19907000
2016-12-07,60.009998,61.380001,59.799999,61.369999,61.369999,30809000
2016-12-08,61.299999,61.580002,60.840000,61.009998,61.009998,21220800
2016-12-09,61.180000,61.990002,61.130001,61.970001,61.970001,27349400
2016-12-12,61.820000,62.299999,61.720001,62.169998,62.169998,20198100
2016-12-13,62.500000,63.419998,62.240002,62.980000,62.980000,35718900
2016-12-14,63.000000,63.450001,62.529999,62.680000,62.680000,30352700
2016-12-15,62.700001,63.150002,62.299999,62.580002,62.580002,27669900
2016-12-16,62.950001,62.950001,62.119999,62.299999,62.299999,42453100
2016-12-19,62.560001,63.770000,62.419998,63.619999,63.619999,34338200
2016-12-20,63.689999,63.799999,63.029999,63.540001,63.540001,26028400
2016-12-21,63.430000,63.700001,63.119999,63.540001,63.540001,17096300
2016-12-22,63.840000,64.099998,63.410000,63.549999,63.549999,22176600
2016-12-23,63.450001,63.540001,62.799999,63.240002,63.240002,12403800
2016-12-27,63.209999,64.070000,63.209999,63.279999,63.279999,11763200
2016-12-28,63.400002,63.400002,62.830002,62.990002,62.990002,14653300
2016-12-29,62.860001,63.200001,62.730000,62.900002,62.900002,10250600
2016-12-30,62.959999,62.990002,62.029999,62.139999,62.139999,25579900
2017-01-03,62.790001,62.840000,62.130001,62.580002,62.580002,20694100
2017-01-04,62.480000,62.750000,62.119999,62.299999,62.299999,21340000
2017-01-05,62.189999,62.660000,62.029999,62.299999,62.299999,24876000
2017-01-06,62.299999,63.150002,62.040001,62.840000,62.840000,19922900
2017-01-09,62.759998,63.080002,62.540001,62.639999,62.639999,20256600
2017-01-10,62.730000,63.070000,62.279999,62.619999,62.619999,18593000
2017-01-11,62.610001,63.230000,62.430000,63.189999,63.189999,21517300
2017-01-12,63.060001,63.400002,61.950001,62.610001,62.610001,20968200
2017-01-13,62.619999,62.869999,62.349998,62.700001,62.700001,19422300
2017-01-17,62.680000,62.700001,62.029999,62.529999,62.529999,20664000
2017-01-18,62.669998,62.700001,62.119999,62.500000,62.500000,19670100
2017-01-19,62.240002,62.980000,62.200001,62.299999,62.299999,18451700
2017-01-20,62.669998,62.820000,62.369999,62.740002,62.740002,30213500
2017-01-23,62.700001,63.119999,62.570000,62.959999,62.959999,23097600
2017-01-24,63.200001,63.740002,62.939999,63.520000,63.520000,24672900
2017-01-25,63.950001,64.099998,63.450001,63.680000,63.680000,23672700
2017-01-26,64.120003,64.540001,63.549999,64.269997,64.269997,43554600
2017-01-27,65.389999,65.910004,64.889999,65.779999,65.779999,44818000
2017-01-30,65.690002,65.790001,64.800003,65.129997,65.129997,31651400
2017-01-31,64.860001,65.150002,64.260002,64.650002,64.650002,25270500
2017-02-01,64.360001,64.620003,63.470001,63.580002,63.580002,39671500
2017-02-02,63.250000,63.410000,62.750000,63.169998,63.169998,45827000
2017-02-03,63.500000,63.700001,63.070000,63.680000,63.680000,30301800
2017-02-06,63.500000,63.650002,63.139999,63.639999,63.639999,19796400
2017-02-07,63.740002,63.779999,63.230000,63.430000,63.430000,20277200
2017-02-08,63.570000,63.810001,63.220001,63.340000,63.340000,18096400
2017-02-09,63.520000,64.440002,63.320000,64.059998,64.059998,22644400
2017-02-10,64.250000,64.300003,63.980000,64.000000,64.000000,18170700
2017-02-13,64.239998,64.860001,64.129997,64.720001,64.720001,22920100
2017-02-14,64.410004,64.720001,64.019997,64.570000,64.570000,23108400
2017-02-15,64.500000,64.570000,64.160004,64.529999,64.529999,17005200
2017-02-16,64.739998,65.239998,64.440002,64.519997,64.519997,20546300
2017-02-17,64.470001,64.690002,64.300003,64.620003,64.620003,21248800
2017-02-21,64.610001,64.949997,64.449997,64.489998,64.489998,20655900
2017-02-22,64.330002,64.389999,64.050003,64.360001,64.360001,19292700
2017-02-23,64.419998,64.730003,64.190002,64.620003,64.620003,20273100
2017-02-24,64.529999,64.800003,64.139999,64.620003,64.620003,21796800
2017-02-27,64.540001,64.540001,64.050003,64.230003,64.230003,15871500
2017-02-28,64.080002,64.199997,63.759998,63.980000,63.980000,23239800
2017-03-01,64.129997,64.989998,64.019997,64.940002,64.940002,26937500
2017-03-02,64.690002,64.750000,63.880001,64.010002,64.010002,24539600
2017-03-03,63.990002,64.279999,63.619999,64.250000,64.250000,18135900
2017-03-06,63.970001,64.559998,63.810001,64.269997,64.269997,18750300
2017-03-07,64.190002,64.779999,64.190002,64.400002,64.400002,18521000
2017-03-08,64.260002,65.080002,64.250000,64.989998,64.989998,21510900
2017-03-09,65.190002,65.199997,64.480003,64.730003,64.730003,19846800
2017-03-10,65.110001,65.260002,64.750000,64.930000,64.930000,19538200
2017-03-13,65.010002,65.190002,64.570000,64.709999,64.709999,20100000
2017-03-14,64.529999,64.550003,64.150002,64.410004,64.410004,14280200
2017-03-15,64.550003,64.919998,64.250000,64.750000,64.750000,24833800
2017-03-16,64.750000,64.760002,64.300003,64.639999,64.639999,20674300
2017-03-17,64.910004,65.239998,64.680000,64.870003,64.870003,49219700
2017-03-20,64.910004,65.180000,64.720001,64.930000,64.930000,14598100
2017-03-21,65.190002,65.500000,64.129997,64.209999,64.209999,26640500
2017-03-22,64.120003,65.139999,64.120003,65.029999,65.029999,20680000
2017-03-23,64.940002,65.239998,64.769997,64.870003,64.870003,19269200
2017-03-24,65.360001,65.449997,64.760002,64.980003,64.980003,22617100
2017-03-27,64.629997,65.220001,64.349998,65.099998,65.099998,18614700
2017-03-28,64.959999,65.470001,64.650002,65.290001,65.290001,20080400
2017-03-29,65.120003,65.500000,64.949997,65.470001,65.470001,13618400
2017-03-30,65.419998,65.980003,65.360001,65.709999,65.709999,15122800
2017-03-31,65.650002,66.190002,65.449997,65.860001,65.860001,21040300
2017-04-03,65.809998,65.940002,65.190002,65.550003,65.550003,20400900
2017-04-04,65.389999,65.809998,65.279999,65.730003,65.730003,12997400
2017-04-05,66.300003,66.349998,65.440002,65.559998,65.559998,21448600
2017-04-06,65.599998,66.059998,65.480003,65.730003,65.730003,18103500
2017-04-07,65.849998,65.959999,65.440002,65.680000,65.680000,14108500
2017-04-10,65.610001,65.820000,65.360001,65.529999,65.529999,17952700
2017-04-11,65.599998,65.610001,64.849998,65.480003,65.480003,18791500
2017-04-12,65.419998,65.510002,65.110001,65.230003,65.230003,17108500
2017-04-13,65.290001,65.860001,64.949997,64.949997,64.949997,17896500
